speed/Mbps,r_time_1,loss_1,r_time_2,loss_2,r_time_3,loss_3,r_time_4,loss_4,r_time_5,loss_5
191,1.0896110534667969,0.0023723821989529714,1.0754685401916504,0.009325916230366604,1.044165849685669,0.008098821989528826,1.060840129852295,0.008916884816754012,1.079996109008789,0.0023723821989529714
201,1.1549818515777588,0.009250621890547372,1.169079303741455,0.0014769900497513255,1.167083978652954,0.0053638059701492935,1.159975290298462,0.01857898009950254,1.1693944931030273,0.008473258706467757
211,1.2989401817321777,0.002147511848341277,1.2722134590148926,0.0025177725118483707,1.3047285079956055,-0.00044431279620837927,1.2925643920898438,-0.00044431279620837927,1.2911622524261475,-0.00044431279620837927
221,1.4134094715118408,-0.00042420814479626756,1.4044065475463867,0.0013433257918552544,1.3986833095550537,-0.00042420814479626756,1.3918919563293457,-0.00042420814479626756,1.9665560722351074,-0.00042420814479626756
231,1.4098565578460693,0.0378111471861472,1.4791369438171387,0.011769480519480569,0.817556619644165,0.702042748917749,1.5128111839294434,0.0016233766233766378,1.4772262573242188,0.0019615800865800948
241,1.5840637683868408,0.0031768672199170567,1.7335517406463623,0.001556016597510479,1.5968942642211914,-0.00038900414937748096,1.5949602127075195,0.005121887966805017,1.5940618515014648,0.0009076763485478256
251,0.46752071380615234,0.7416583665338645,1.5744435787200928,0.05004980079681276,1.552797555923462,0.054096115537848655,1.5861549377441406,0.03759960159362552,1.618495225906372,0.03853336653386463
261,1.5890765190124512,0.08674568965517249,1.609276294708252,0.07567049808429127,1.6161351203918457,0.07297653256704983,2.1408305168151855,0.1133860153256705,1.9871621131896973,0.09333093869731801
271,1.6053247451782227,0.10920202952029523,1.6692554950714111,0.10776060885608862,1.5463612079620361,0.1325530442804429,1.614370584487915,0.11237315498154987,3.3752636909484863,0.5897716789667897
281,1.600782871246338,0.14312722419928825,1.6002306938171387,0.14145907473309616,1.591456413269043,0.14423932384341642,1.588069200515747,0.14006895017793597,1.9466893672943115,0.1422931494661922
291,1.5859572887420654,0.1698883161512028,1.6046998500823975,0.16908290378006874,1.6102664470672607,0.16854596219931273,1.6208560466766357,0.1717676116838488,1.595517873764038,0.17015678694158076
301,1.7920560836791992,0.20655107973421927,1.5908963680267334,0.2101848006644519,1.6246764659881592,0.2088870431893688,1.5950868129730225,0.19980274086378746,1.6806108951568604,0.209406146179402
311,1.6095781326293945,0.22352290996784574,1.6204578876495361,0.22151326366559487,1.58561110496521,0.22930064308681675,1.5892646312713623,0.22703979099678462,1.623690128326416,0.22427652733118975
321,0.45450687408447266,0.6222741433021808,1.5584838390350342,0.259881230529595,1.5869672298431396,0.25087616822429915,1.8106119632720947,0.24600856697819318,1.5914411544799805,0.2559871495327103
331,1.5898489952087402,0.2728002265861027,1.6434106826782227,0.28412953172205446,1.5855653285980225,0.27539652567975836,1.5894274711608887,0.2777567975830816,1.6204726696014404,0.26878776435045315
341,1.6325416564941406,0.2897727272727273,1.6189112663269043,0.2911473607038123,1.6252071857452393,0.2934384164222874,1.599147081375122,0.2900018328445748,1.6720201969146729,0.29756231671554256
351,1.58723783493042,0.3198005698005698,1.6013355255126953,0.31356837606837606,1.601698398590088,0.3146812678062678,1.6013436317443848,0.3102297008547009,1.6275811195373535,0.3108974358974359
361,1.6058101654052734,0.3293369113573408,1.629526138305664,0.33582929362880887,1.6374456882476807,0.3291204986149585,1.617178201675415,0.3306353878116344,1.5933666229248047,0.33777700831024937
371,1.8207488059997559,0.3472035040431267,1.586702823638916,0.35120451482479786,1.5939915180206299,0.3469929245283019,1.6208388805389404,0.3539420485175202,1.633530616760254,0.34741408355795156
381,1.6120953559875488,0.3626968503937008,1.7386822700500488,0.36228674540682415,1.6073777675628662,0.369258530183727,1.636667013168335,0.3616715879265092,1.6060166358947754,0.36228674540682415
